Experimental ID,Genome assembly,Antigen class,Antigen,Cell type class,Cell type,Cell type description,Processing logs,Title,Meta data,BigWig,Peak-call (BED) (q < 1E-05),Peak-call (BED) (q < 1E-10),Peak-call (BED) (q < 1E-20),Peak-call (BigBed) (q < 1E-05),Peak-call (BigBed) (q < 1E-10),Peak-call (BigBed) (q < 1E-20)
SRX275504,hg19,TFs and others,TP53,Bone,U2OS,"Tissue=bone|Lineage=mesoderm|Description=osteosarcoma from the tibia of a 15 year old, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972, (PMID: 6081590)","35786291,33.7,63.7,8027",GSM1133486: U2OS Nutlin p53chip; Homo sapiens; ChIP-Seq,"source_name=U2OS cell line || cell type=U2OS || cell type=osteosarcoma || treatment=10 uM Nutlin-3 for 24 hr and ChIP with p53 || chip antibody=p53 DO-1 (Santa Cruz, sc-126)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX275504.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX275504.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX275504.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX275504.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX275504.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX275504.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX275504.20.bb
SRX275506,hg19,TFs and others,TP53,Bone,U2OS,"Tissue=bone|Lineage=mesoderm|Description=osteosarcoma from the tibia of a 15 year old, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972, (PMID: 6081590)","21509088,81.3,4.6,840",GSM1133488: U2OS NT p53chip; Homo sapiens; ChIP-Seq,"source_name=U2OS cell line || cell type=U2OS || cell type=osteosarcoma || treatment=no treatment control 24 hr and ChIP with p53 (control for Doxorubicin-treated cells) || chip antibody=p53 DO-1 (Santa Cruz, sc-126)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX275506.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX275506.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX275506.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX275506.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX275506.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX275506.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX275506.20.bb
SRX278504,hg19,TFs and others,TP53,Blood,Lymphoblastoid cells,,"73327328,9.3,86.0,1993",GSM1142700: p53 ChIP LCL nutlin-3 treated; Homo sapiens; ChIP-Seq,"source_name=lymphoblastoid cells || cell type=nutlin-3 treated lymphoblastoid cells || coriell id=GM12878 || chip antibody=mouse monoclonal anti-human p53 (BD Pharmingen, cat# 554294)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX278504.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX278504.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX278504.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX278504.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX278504.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX278504.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX278504.20.bb
SRX278506,hg19,TFs and others,TP53,Blood,Lymphoblastoid cells,,"18157372,33.3,65.3,6679",GSM1142696: p53 ChIP LCL Doxo; Homo sapiens; ChIP-Seq,"source_name=lymphoblastoid cells || treatment=Doxo treated lymphoblastoid cells || coriell id=GM06993 and GM11992 || chip antibody=mouse monoclonal anti-human p53 (BD Pharmingen, cat# 554294)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX278506.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX278506.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX278506.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX278506.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX278506.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX278506.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX278506.20.bb
SRX278507,hg19,TFs and others,TP53,Blood,Lymphoblastoid cells,,"4242073,9.5,82.8,34",GSM1142697: p53 ChIP LCL NT; Homo sapiens; ChIP-Seq,"source_name=lymphoblastoid cells || treatment=vehicle treated lymphoblastoid cells || coriell id=GM06993 and GM11992 || chip antibody=mouse monoclonal anti-human p53 (BD Pharmingen, cat# 554294)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX278507.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX278507.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX278507.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX278507.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX278507.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX278507.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX278507.20.bb
SRX278510,hg19,TFs and others,TP53,Blood,Lymphoblastoid cells,,"38271893,21.7,72.9,868",GSM1142702: p53 ChIP LCL IR treated; Homo sapiens; ChIP-Seq,"source_name=lymphoblastoid cells || cell type=IR treated lymphoblastoid cells || coriell id=GM12878 || chip antibody=mouse monoclonal anti-human p53 (BD Pharmingen, cat# 554294)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX278510.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX278510.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX278510.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX278510.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX278510.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX278510.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX278510.20.bb
SRX285808,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"91535181,13.0,66.1,937",GSM1146168: S p53 ChIP-Seq; Homo sapiens; ChIP-Seq,"source_name=MCF7_Nutlin stimulated_ChIP || cell line=MCF7 || cell type=breast cancer cells || stimulated with=5ÊM Nutlin-3a for 24hr || chip antibody=p53 Antibody (DO-1) || chip antibody vendor=santa cruz biotechnology, inc.",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX285808.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX285808.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX285808.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX285808.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX285808.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX285808.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX285808.20.bb
SRX2924012,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"18199771,87.5,9.4,794","GSM2671290: p53 ChIP-Seq, t=0h; Homo sapiens; ChIP-Seq","source_name=MCF7 || passage=between 4-14 for all experiments || antibody=X-DO1, Santa Cruz sc-126 X || cell line=MCF7",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2924012.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2924012.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2924012.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2924012.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2924012.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2924012.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2924012.20.bb
SRX2924013,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"31174624,86.2,11.0,3336","GSM2671291: p53 ChIP-Seq, t=1h, IR 10Gy; Homo sapiens; ChIP-Seq","source_name=MCF7 || passage=between 4-14 for all experiments || antibody=X-DO1, Santa Cruz sc-126 X || cell line=MCF7",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2924013.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2924013.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2924013.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2924013.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2924013.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2924013.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2924013.20.bb
SRX2924014,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"28849376,88.8,8.7,4789","GSM2671292: p53 ChIP-Seq, t=2.5h, IR 10Gy; Homo sapiens; ChIP-Seq","source_name=MCF7 || passage=between 4-14 for all experiments || antibody=X-DO1, Santa Cruz sc-126 X || cell line=MCF7",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2924014.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2924014.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2924014.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2924014.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2924014.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2924014.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2924014.20.bb
SRX2924015,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"31914329,81.6,14.6,2664","GSM2671293: p53 ChIP-Seq, t=4h, IR 10Gy; Homo sapiens; ChIP-Seq","source_name=MCF7 || passage=between 4-14 for all experiments || antibody=X-DO1, Santa Cruz sc-126 X || cell line=MCF7",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2924015.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2924015.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2924015.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2924015.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2924015.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2924015.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2924015.20.bb
SRX2924016,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"30311015,85.8,11.8,1945","GSM2671294: p53 ChIP-Seq, t=5h, IR 10Gy; Homo sapiens; ChIP-Seq","source_name=MCF7 || passage=between 4-14 for all experiments || antibody=X-DO1, Santa Cruz sc-126 X || cell line=MCF7",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2924016.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2924016.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2924016.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2924016.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2924016.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2924016.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2924016.20.bb
SRX2924017,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"35041436,82.6,13.1,3838","GSM2671295: p53 ChIP-Seq, t=7.5h, IR 10Gy; Homo sapiens; ChIP-Seq","source_name=MCF7 || passage=between 4-14 for all experiments || antibody=X-DO1, Santa Cruz sc-126 X || cell line=MCF7",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2924017.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2924017.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2924017.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2924017.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2924017.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2924017.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2924017.20.bb
SRX2924018,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"27224990,88.2,9.6,9881","GSM2671296: p53 ChIP-Seq, t=7.5h, IR 10Gy+Nutlin; Homo sapiens; ChIP-Seq","source_name=MCF7 || passage=between 4-14 for all experiments || antibody=X-DO1, Santa Cruz sc-126 X || cell line=MCF7",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2924018.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2924018.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2924018.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2924018.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2924018.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2924018.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2924018.20.bb
SRX2940746,hg19,TFs and others,TP53,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"11780596,76.1,16.0,365","GSM2677372: MCF7 p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=MCF7 || cell line=MCF7 || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940746.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940746.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940746.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940746.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940746.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940746.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940746.20.bb
SRX2940747,hg19,TFs and others,TP53,Epidermis,LOX-IMVI,Primary Tissue=Skin|Tissue Diagnosis=Melanoma,"11742424,60.1,15.2,642","GSM2677373: LOXIMVI p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=LOXIMVI || cell line=LOXIMVI || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940747.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940747.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940747.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940747.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940747.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940747.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940747.20.bb
SRX2940748,hg19,TFs and others,TP53,Kidney,UO-31,Primary Tissue=Kidney|Tissue Diagnosis=Unknown,"25705617,63.7,22.8,1163","GSM2677374: UO31 p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=UO31 || cell line=UO31 || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940748.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940748.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940748.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940748.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940748.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940748.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940748.20.bb
SRX2940749,hg19,TFs and others,TP53,Kidney,A498,,"9865603,46.6,25.2,563","GSM2677375: A498 p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=A498 || cell line=A498 || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940749.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940749.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940749.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940749.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940749.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940749.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940749.20.bb
SRX2940750,hg19,TFs and others,TP53,Bone,U2OS,"Tissue=bone|Lineage=mesoderm|Description=osteosarcoma from the tibia of a 15 year old, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972, (PMID: 6081590)","10897612,55.6,16.6,286","GSM2677376: U2OS p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=U2OS || cell line=U2OS || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940750.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940750.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940750.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940750.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940750.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940750.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940750.20.bb
SRX2940751,hg19,TFs and others,TP53,Blood,SK-MEL-5,Primary Tissue=Skin|Tissue Diagnosis=Melanoma,"9730479,28.1,34.4,178","GSM2677377: SKMEL5 p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=SKMEL5 || cell line=SKMEL5 || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940751.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940751.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940751.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940751.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940751.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940751.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940751.20.bb
SRX2940752,hg19,TFs and others,TP53,Epidermis,Malme-3,Primary Tissue=Skin|Tissue Diagnosis=Normal,"4701862,20.6,25.1,81","GSM2677378: MALME3 p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=MALME3 || cell line=MALME3 || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940752.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940752.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940752.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940752.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940752.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940752.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940752.20.bb
SRX2940753,hg19,TFs and others,TP53,Lung,NCI-H460,Primary Tissue=Lung|Site of Extraction=Pleura|Tissue Diagnosis=Carcinoma Large Cell,"25859173,52.7,36.0,842","GSM2677379: H460 p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=H460 || cell line=H460 || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940753.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940753.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940753.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940753.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940753.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940753.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940753.20.bb
SRX2940754,hg19,TFs and others,TP53,Lung,A549,Primary Tissue=Lung|Tissue Diagnosis=Carcinoma,"15098678,63.4,22.0,975","GSM2677380: A549 p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=A549 || cell line=A549 || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940754.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940754.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940754.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940754.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940754.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940754.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940754.20.bb
SRX2940755,hg19,TFs and others,TP53,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"19298946,72.5,19.0,925","GSM2677381: HCT116 p53 ChIPseq, 2hrs 4GY; Homo sapiens; ChIP-Seq","source_name=HCT116 || cell line=HCT116 || treated with=4GY for 2hrs || chip antibody=anti-p53 antibody (DO-1, Santa Cruz Biotechnology, SC-126X, Lot:G0115)",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/SRX2940755.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/SRX2940755.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/SRX2940755.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/SRX2940755.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/SRX2940755.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/SRX2940755.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/SRX2940755.20.bb
